pair,accuracy,precision,recall,f1,threshold
EURUSD,0.8395061728395061,0.36363636363636365,0.4,0.38095238095238093,0.25000000000000006
GBPUSD,0.8518518518518519,0.5833333333333334,0.5,0.5384615384615384,0.30000000000000004
