pair,best_ensemble,threshold,accuracy,precision,recall,f1,roc_auc,test_samples,class_ratio
EURUSD,performance_weighted,0.35000000000000003,0.8677685950413223,0.42857142857142855,0.2,0.2727272727272727,0.5817610062893082,121,0.12396694214876033
GBPUSD,simple_avg,0.2,0.8429752066115702,0.4444444444444444,0.47058823529411764,0.45714285714285713,0.7505656108597285,121,0.14049586776859505
