,accuracy,precision,recall,f1,model
0,0.6774193548387096,1.0,0.5149253731343284,0.6798029556650246,lstm
1,0.3349875930521092,0.0,0.0,0.0,attention
2,0.7047146401985112,1.0,0.5559701492537313,0.7146282973621103,cnn_lstm
